E_GeV,A_e,A_mu,A_tau
2.511886431509582102e+08,3.036308873987628658e+02,2.989817365142888775e+03,2.030201603252822338e+02
3.162277660168379545e+08,3.293657275056639833e+02,3.222116540012544647e+03,2.192566603831628811e+02
3.981071705534985662e+08,3.571058008372941686e+02,3.417040396937093647e+03,2.368180572620377973e+02
5.011872336272714734e+08,3.869729037083892536e+02,3.913953779060040688e+03,2.555969573927935130e+02
6.309573444801943302e+08,4.190986760379807947e+02,4.184684741746606051e+03,2.756138756797386122e+02
7.943282347242821455e+08,4.536210397657868043e+02,4.552274954943357443e+03,2.969213754776681071e+02
1.000000000000000000e+09,4.906829125211450560e+02,4.888380658779242367e+03,3.195722317597302435e+02
1.258925411794171333e+09,5.304480771027422179e+02,5.141811533296911875e+03,3.436763229717433887e+02
1.584893192461110830e+09,5.731837186853774710e+02,5.710273120634688894e+03,3.696720082089364041e+02
1.995262314968882799e+09,6.191008389460399712e+02,5.965898243364068549e+03,3.977845244006348366e+02
2.511886431509582043e+09,6.683982994661389512e+02,6.649351107163016422e+03,4.281914272121894669e+02
3.162277660168379307e+09,7.212828225813457266e+02,7.133417509499622611e+03,4.610814550199815471e+02
3.981071705534985542e+09,7.779631313073973615e+02,7.447442785226776323e+03,4.965843261180790478e+02
5.011872336272714615e+09,8.386321309579329863e+02,8.226357262067926058e+03,5.344357367283887470e+02
6.309573444801942825e+09,9.035069437198849300e+02,8.944178868129280090e+03,5.746548557991272901e+02
7.943282347242821693e+09,9.728161941053468809e+02,9.477590254615191952e+03,6.173241542420389578e+02
1.000000000000000000e+10,1.046801031273342687e+03,1.039128632128852769e+04,6.625356488297162514e+02
1.258925411794171333e+10,1.125735871971954566e+03,1.143593559983942760e+04,7.104918171440772312e+02
1.584893192461110878e+10,1.210042794685866738e+03,1.165136122391923527e+04,7.620280325884223203e+02
1.995262314968882751e+10,1.300056156625935728e+03,1.227673109743419263e+04,8.175315855738667778e+02
2.511886431509582138e+10,1.396099646757019627e+03,1.316925008772596630e+04,8.773029370418265671e+02
3.162277660168379211e+10,1.498513784177371235e+03,1.429613408363741291e+04,9.416664209491632391e+02
3.981071705534985352e+10,1.607599259524700756e+03,1.535207885955603706e+04,1.010797519747117803e+03
5.011872336272714996e+10,1.723367033824783448e+03,1.676606784718845665e+04,1.083933292387693200e+03
6.309573444801942444e+10,1.846055784678477266e+03,1.738386649958795897e+04,1.161016970077600263e+03
7.943282347242822266e+10,1.975960821747501086e+03,1.901493937493710109e+04,1.242134681065843779e+03
