E_GeV,A_e,A_mu,A_tau
3.162277660168379545e+08,1.646558693198012406e+02,1.613272235855855570e+02,1.096283301915814405e+02
3.981071705534985662e+08,1.785367637080300938e+02,1.750591362454565854e+02,1.184090286310188986e+02
5.011872336272714734e+08,1.934781072540806122e+02,1.897945593020102990e+02,1.277984786963967565e+02
6.309573444801943302e+08,2.095464943104769304e+02,2.055951429565719764e+02,1.378069378398693061e+02
7.943282347242821455e+08,2.268116248843288645e+02,2.225239909313276314e+02,1.484606877388340536e+02
1.000000000000000000e+09,2.453456660045657713e+02,2.406448975730183690e+02,1.597861158798651218e+02
1.258925411794171333e+09,2.652309424615897910e+02,2.600311886075805887e+02,1.718381614858716944e+02
1.584893192461110830e+09,2.866006066820414162e+02,2.808051337705344395e+02,1.848360041044682021e+02
1.995262314968882799e+09,3.095602143533300818e+02,3.030689828749504500e+02,1.988922622003174183e+02
2.511886431509582043e+09,3.342094534103379715e+02,3.269148451275858633e+02,2.140957136060947334e+02
3.162277660168379307e+09,3.606518397396624209e+02,3.524366418887461236e+02,2.305407275099907736e+02
3.981071705534985542e+09,3.889918944655258883e+02,3.797297407024586846e+02,2.482921630590395239e+02
5.011872336272714615e+09,4.193264456764824786e+02,4.088827624650182884e+02,2.672178683641943735e+02
6.309573444801942825e+09,4.517641499035482866e+02,4.399943235895110547e+02,2.873274278995636450e+02
7.943282347242821693e+09,4.864196294256668693e+02,4.731684594197813567e+02,3.086620771210194789e+02
1.000000000000000000e+10,5.234137060785808444e+02,5.085207994785266692e+02,3.312678244148581257e+02
1.258925411794171333e+10,5.628835731650399339e+02,5.461822505004364530e+02,3.552459085720386156e+02
1.584893192461110878e+10,6.050397252139077864e+02,5.863493286056448142e+02,3.810140162942111601e+02
1.995262314968882751e+10,6.500493079056227543e+02,6.291773204223961784e+02,4.087657927869333889e+02
2.511886431509582138e+10,6.980740297051453354e+02,6.748146039674255690e+02,4.386514685209132836e+02
3.162277660168379211e+10,7.492843693309530408e+02,7.234184408785851019e+02,4.708332104745816196e+02
3.981071705534985352e+10,8.038307675887733694e+02,7.751261152063643749e+02,5.053987598735589017e+02
5.011872336272714996e+10,8.617196633301841757e+02,8.299378334375148825e+02,5.419666461938466000e+02
6.309573444801942444e+10,9.230710271610291784e+02,8.879576836242175659e+02,5.805084850388001314e+02
7.943282347242822266e+10,9.880328029344963170e+02,9.493234510703323394e+02,6.210673405329218895e+02
1.000000000000000000e+11,1.056756686285895739e+03,1.014177586559248311e+03,6.636814864942716667e+02
1.258925411794171295e+11,1.129367584042690623e+03,1.082635783048153371e+03,7.084633117898022192e+02
1.584893192461110840e+11,1.205832643505220176e+03,1.154664205841782632e+03,7.559590489584441002e+02
1.995262314968882751e+11,1.286236530798634249e+03,1.230346306944747766e+03,8.063989685683886819e+02
2.511886431509582214e+11,1.370682774445358746e+03,1.309770984847776617e+03,8.599368505862621532e+02
3.162277660168379517e+11,1.459212696484078833e+03,1.392806611520345541e+03,9.166512363061173119e+02
3.981071705534985352e+11,1.551772103289525830e+03,1.479336233258078209e+03,9.764674573483282529e+02
5.011872336272714844e+11,1.647621485585514165e+03,1.568649720577258449e+03,1.038180073807577628e+03
6.309573444801943359e+11,1.746127216080184326e+03,1.660542881743114094e+03,1.101439932726201505e+03
7.943282347242821045e+11,1.171055046398290187e+03,1.754897058339095111e+03,1.166021783992645624e+03
1.000000000000000000e+12,5.084749313061753355e+02,1.811207773519608054e+03,1.136568143394363688e+03
