E_GeV,A_e,A_mu,A_tau
1.995262314968882799e+09,3.095602143533300818e+02,3.074078527947792736e+03,1.988922622003174183e+02
2.511886431509582043e+09,3.342094534103379715e+02,3.372851183873480295e+03,2.140957136060947334e+02
3.162277660168379307e+09,3.606518397396624209e+02,3.635323448501453640e+03,2.305407275099907736e+02
3.981071705534985542e+09,3.889918944655258883e+02,3.779548845657850507e+03,2.482921630590395239e+02
5.011872336272714615e+09,4.193264456764824786e+02,4.197171887145737855e+03,2.672178683641943735e+02
6.309573444801942825e+09,4.517641499035482866e+02,4.444210275849553000e+03,2.873274278995636450e+02
7.943282347242821693e+09,4.864196294256668693e+02,4.802032105807908920e+03,3.086620771210194789e+02
1.000000000000000000e+10,5.234137060785808444e+02,5.193660891496751901e+03,3.312678244148581257e+02
1.258925411794171333e+10,5.628835731650399339e+02,5.687214021311120632e+03,3.552459085720386156e+02
1.584893192461110878e+10,6.050397252139077864e+02,5.932221113120717746e+03,3.810140162942111601e+02
1.995262314968882751e+10,6.500493079056227543e+02,6.064506941776116946e+03,4.087657927869333889e+02
2.511886431509582138e+10,6.980740297051453354e+02,6.605248883646221657e+03,4.386514685209132836e+02
3.162277660168379211e+10,7.492843693309530408e+02,7.296142364009505400e+03,4.708332104745816196e+02
3.981071705534985352e+10,8.038307675887733694e+02,7.824395764875763234e+03,5.053987598735589017e+02
5.011872336272714996e+10,8.617196633301841757e+02,8.296559670145710697e+03,5.419666461938466000e+02
6.309573444801942444e+10,9.230710271610291784e+02,8.666597666677724192e+03,5.805084850388001314e+02
7.943282347242822266e+10,9.880328029344963170e+02,9.652028151438042187e+03,6.210673405329218895e+02
1.000000000000000000e+11,1.056756686285895739e+03,1.009385354487813493e+04,6.636814864942716667e+02
1.258925411794171295e+11,1.129367584042690623e+03,1.016231174136704067e+04,7.084633117898022192e+02
1.584893192461110840e+11,1.205832643505220176e+03,1.023434016416066879e+04,7.559590489584441002e+02
1.995262314968882751e+11,1.286236530798634249e+03,1.031002226526363484e+04,8.063989685683886819e+02
2.511886431509582214e+11,1.370682774445358746e+03,1.038944694316666391e+04,8.599368505862621532e+02
3.162277660168379517e+11,1.459212696484078833e+03,1.047248256983923238e+04,9.166512363061173119e+02
3.981071705534985352e+11,1.551772103289525830e+03,1.055901219157696505e+04,9.764674573483282529e+02
5.011872336272714844e+11,1.647621485585514165e+03,1.064832567889614438e+04,1.038180073807577628e+03
6.309573444801943359e+11,1.746127216080184326e+03,1.074021884006200162e+04,1.101439932726201505e+03
7.943282347242821045e+11,1.171055046398290187e+03,1.083457301665798150e+04,1.166021783992645624e+03
1.000000000000000000e+12,5.084749313061753355e+02,1.089088373183849399e+04,1.136568143394363688e+03
