E_GeV,casc_e,casc_mu,casc_tau,dc_e,dc_mu,dc_tau,utr_e,utr_mu,utr_tau,str_e,str_mu,str_tau,start_e,start_mu,start_tau
1.58489319e+07,1.05605500e+02,3.91215223e+01,3.55791974e+01,9.09152526e+00,2.67454693e+00,3.45525943e+01,0.00000000e+00,9.29130763e+02,0.00000000e+00,0.00000000e+00,6.53156573e+01,0.00000000e+00,3.21359614e+00,5.72643187e+01,1.03662375e+01
1.99526231e+07,1.11283537e+02,4.38398610e+01,3.83080378e+01,9.61769202e+00,3.00761607e+00,3.79947665e+01,0.00000000e+00,1.01142691e+03,0.00000000e+00,0.00000000e+00,6.96463405e+01,0.00000000e+00,3.36647581e+00,6.28255008e+01,1.05601645e+01
2.51188643e+07,1.19402106e+02,4.89630102e+01,4.12961312e+01,1.03755026e+01,3.36937926e+00,4.16978559e+01,0.00000000e+00,1.08397161e+03,0.00000000e+00,0.00000000e+00,8.22107393e+01,0.00000000e+00,3.58142960e+00,6.88218981e+01,1.08331917e+01
3.16227766e+07,1.29082836e+02,5.45131733e+01,4.45588790e+01,1.12825272e+01,3.76149855e+00,4.56893399e+01,0.00000000e+00,1.15447707e+03,0.00000000e+00,0.00000000e+00,9.01342539e+01,0.00000000e+00,3.83563015e+00,7.52792397e+01,1.11973388e+01
3.98107171e+07,1.40021132e+02,6.05140057e+01,4.81087036e+01,1.23102729e+01,4.18571756e+00,4.99930642e+01,0.00000000e+00,1.29780977e+03,0.00000000e+00,0.00000000e+00,1.03721982e+02,0.00000000e+00,4.12114738e+00,8.22236347e+01,1.16625700e+01
5.01187234e+07,1.52113086e+02,6.69910849e+01,5.19301523e+01,1.34491355e+01,4.64388042e+00,5.46004713e+01,0.00000000e+00,1.40715041e+03,0.00000000e+00,0.00000000e+00,1.02062949e+02,0.00000000e+00,4.43523608e+00,8.96822112e+01,1.22214926e+01
6.30957344e+07,1.65339446e+02,7.39722098e+01,5.60298009e+01,1.46973501e+01,5.13791195e+00,5.95244884e+01,0.00000000e+00,1.52438008e+03,0.00000000e+00,0.00000000e+00,1.20931909e+02,0.00000000e+00,4.77737095e+00,9.76847933e+01,1.28671512e+01
7.94328235e+07,1.79722393e+02,8.14881946e+01,6.04200667e+01,1.60570075e+01,5.66991374e+00,6.47825003e+01,0.00000000e+00,1.64112593e+03,0.00000000e+00,0.00000000e+00,1.27816923e+02,0.00000000e+00,5.14810172e+00,1.06264911e+02,1.35952860e+01
1.00000000e+08,1.95306573e+02,8.95724280e+01,6.51137634e+01,1.75323289e+01,6.24215109e+00,7.03910047e+01,0.00000000e+00,1.83160890e+03,0.00000000e+00,0.00000000e+00,1.37331967e+02,0.00000000e+00,5.54853562e+00,1.15458895e+02,1.44027844e+01
1.25892541e+08,2.12157192e+02,9.82635579e+01,7.01345449e+01,1.91294140e+01,6.85723287e+00,7.63772106e+01,0.00000000e+00,1.92860907e+03,0.00000000e+00,0.00000000e+00,1.52584807e+02,0.00000000e+00,5.98032199e+00,1.25309842e+02,1.52894646e+01
1.58489319e+08,2.30389409e+02,1.07621314e+02,7.55647916e+01,2.08588934e+01,7.51922468e+00,8.28337543e+01,0.00000000e+00,2.11478266e+03,0.00000000e+00,0.00000000e+00,1.70306523e+02,0.00000000e+00,6.44648340e+00,1.35887602e+02,1.62672286e+01
1.99526231e+08,2.50100234e+02,1.17695625e+02,8.14504909e+01,2.27297935e+01,8.23150311e+00,8.98114838e+01,0.00000000e+00,2.29548338e+03,0.00000000e+00,0.00000000e+00,1.73343759e+02,0.00000000e+00,6.94949745e+00,1.47249431e+02,1.73409030e+01
2.51188643e+08,2.71387792e+02,1.28535534e+02,8.78316450e+01,2.47512122e+01,8.99738331e+00,9.73539739e+01,0.00000000e+00,2.49154043e+03,0.00000000e+00,0.00000000e+00,2.01291678e+02,0.00000000e+00,7.49188339e+00,1.59452337e+02,1.85146458e+01
3.16227766e+08,2.94356572e+02,1.40191805e+02,9.47508503e+01,2.69328137e+01,9.82030808e+00,1.05507664e+02,0.00000000e+00,2.68091830e+03,0.00000000e+00,0.00000000e+00,2.18629989e+02,0.00000000e+00,8.07634216e+00,1.72556138e+02,1.97933493e+01
3.98107171e+08,3.19115435e+02,1.52716534e+02,1.02240727e+02,2.92847238e+01,1.07038122e+01,1.14307724e+02,0.00000000e+00,2.82602767e+03,0.00000000e+00,0.00000000e+00,2.40970602e+02,0.00000000e+00,8.70564169e+00,1.86621780e+02,2.11795510e+01
5.01187234e+08,3.45773306e+02,1.66160858e+02,1.10267541e+02,3.18170467e+01,1.16513586e+01,1.23713411e+02,0.00000000e+00,3.27149892e+03,0.00000000e+00,0.00000000e+00,2.62932683e+02,0.00000000e+00,9.38255101e+00,2.01709958e+02,2.26625537e+01
6.30957344e+08,3.74447953e+02,1.80577288e+02,1.18845375e+02,3.45404622e+01,1.26665465e+01,1.33738733e+02,0.00000000e+00,3.50155726e+03,0.00000000e+00,0.00000000e+00,2.71996219e+02,0.00000000e+00,1.01102609e+01,2.17887432e+02,2.42418257e+01
7.94328235e+08,4.05262818e+02,1.96016676e+02,1.27999553e+02,3.74657991e+01,1.37529286e+01,1.44410743e+02,0.00000000e+00,3.81779451e+03,0.00000000e+00,0.00000000e+00,2.89485456e+02,0.00000000e+00,1.08924224e+01,2.35225386e+02,2.59214438e+01
1.00000000e+09,4.38345825e+02,2.12528873e+02,1.37754595e+02,4.06040855e+01,1.49140442e+01,1.55755924e+02,0.00000000e+00,4.07520726e+03,0.00000000e+00,0.00000000e+00,3.31933027e+02,0.00000000e+00,1.17330023e+01,2.53797458e+02,2.77075871e+01
1.25892541e+09,4.73843509e+02,2.30172138e+02,1.48156540e+02,4.39680589e+01,1.61540541e+01,1.67825767e+02,0.00000000e+00,4.25098825e+03,0.00000000e+00,0.00000000e+00,3.70809499e+02,0.00000000e+00,1.26365094e+01,2.73687587e+02,2.96118857e+01
1.58489319e+09,5.11994718e+02,2.49050500e+02,1.59378995e+02,4.75791524e+01,1.74803442e+01,1.80817849e+02,0.00000000e+00,4.76240208e+03,0.00000000e+00,0.00000000e+00,3.86308221e+02,0.00000000e+00,1.36098482e+01,2.95031970e+02,3.16710638e+01
1.99526231e+09,5.52988041e+02,2.69250922e+02,1.71513029e+02,5.14543454e+01,1.88991036e+01,1.94836158e+02,0.00000000e+00,4.93035274e+03,0.00000000e+00,0.00000000e+00,4.29452571e+02,0.00000000e+00,1.46584528e+01,3.17942907e+02,3.39056298e+01
2.51188643e+09,5.97001161e+02,2.90852328e+02,1.84630982e+02,5.56098021e+01,2.04159487e+01,2.09963709e+02,0.00000000e+00,5.54499781e+03,0.00000000e+00,0.00000000e+00,4.50565017e+02,0.00000000e+00,1.57873360e+01,3.42520007e+02,3.63319799e+01
3.16227766e+09,6.44218734e+02,3.13936910e+02,1.98809672e+02,6.00625199e+01,2.20367137e+01,2.26288925e+02,0.00000000e+00,5.92847721e+03,0.00000000e+00,0.00000000e+00,5.00102959e+02,0.00000000e+00,1.70015683e+01,3.68863718e+02,3.89667734e+01
3.98107171e+09,6.94827159e+02,3.38588788e+02,2.14103677e+02,6.48298165e+01,2.37673556e+01,2.43875024e+02,0.00000000e+00,6.17765638e+03,0.00000000e+00,0.00000000e+00,5.10356096e+02,0.00000000e+00,1.83061555e+01,3.97074165e+02,4.18217912e+01
5.01187234e+09,7.48998678e+02,3.64885934e+02,2.30418929e+02,6.99278118e+01,2.56133885e+01,2.62615527e+02,0.00000000e+00,6.86564727e+03,0.00000000e+00,0.00000000e+00,5.42968420e+02,0.00000000e+00,1.97056413e+01,4.27242250e+02,4.48796992e+01
6.30957344e+09,8.06927140e+02,3.92916771e+02,2.47769042e+02,7.53747316e+01,2.75810498e+01,2.82527028e+02,0.00000000e+00,7.46378765e+03,0.00000000e+00,0.00000000e+00,6.00423738e+02,0.00000000e+00,2.12050724e+01,4.59469655e+02,4.81434556e+01
7.94328235e+09,8.68816653e+02,4.22774952e+02,2.66192007e+02,8.11898235e+01,2.96769359e+01,3.03653984e+02,0.00000000e+00,7.86931961e+03,0.00000000e+00,0.00000000e+00,6.61955615e+02,0.00000000e+00,2.28097175e+01,4.93863146e+02,5.16203847e+01
1.00000000e+10,9.34882506e+02,4.54564889e+02,2.85730143e+02,8.73934160e+01,3.19083922e+01,3.26045765e+02,0.00000000e+00,8.66148899e+03,0.00000000e+00,0.00000000e+00,7.12782605e+02,0.00000000e+00,2.45251096e+01,5.30541447e+02,5.53184267e+01
1.25892541e+10,1.00536969e+03,4.88405186e+02,3.06468761e+02,9.40086407e+01,3.42837554e+01,3.49800816e+02,0.00000000e+00,9.57742626e+03,0.00000000e+00,0.00000000e+00,7.66180985e+02,0.00000000e+00,2.63575399e+01,5.69639414e+02,5.92536301e+01
1.58489319e+10,1.08065508e+03,5.24475618e+02,3.28736478e+02,1.01070975e+02,3.68156524e+01,3.75295509e+02,0.00000000e+00,9.68606925e+03,0.00000000e+00,0.00000000e+00,7.92637696e+02,0.00000000e+00,2.83167440e+01,6.11363003e+02,6.34887443e+01
1.99526231e+10,1.16103718e+03,5.62916951e+02,3.52689868e+02,1.08608576e+02,3.95139695e+01,4.02709617e+02,0.00000000e+00,1.01540743e+04,0.00000000e+00,0.00000000e+00,8.64353306e+02,0.00000000e+00,3.04103975e+01,6.55872607e+02,6.80533502e+01
2.51188643e+10,1.24680501e+03,6.03863896e+02,3.78452108e+02,1.16648703e+02,4.23881659e+01,4.32184686e+02,0.00000000e+00,1.08587177e+04,0.00000000e+00,0.00000000e+00,9.60958604e+02,0.00000000e+00,3.26459298e+01,7.03321695e+02,7.29705930e+01
3.16227766e+10,1.33826260e+03,6.47459046e+02,4.06156113e+02,1.25220009e+02,4.54482529e+01,4.63873307e+02,0.00000000e+00,1.18743585e+04,0.00000000e+00,0.00000000e+00,9.74995148e+02,0.00000000e+00,3.50311716e+01,7.53873134e+02,7.82655049e+01
3.98107171e+10,1.43567843e+03,6.93826168e+02,4.35877139e+02,1.34347800e+02,4.87029194e+01,4.97862118e+02,0.00000000e+00,1.27171467e+04,0.00000000e+00,0.00000000e+00,1.08473496e+03,0.00000000e+00,3.75730322e+01,8.07668116e+02,8.39520565e+01
5.01187234e+10,1.53906222e+03,7.42963361e+02,4.67326873e+02,1.44033149e+02,5.21520325e+01,5.33822273e+02,0.00000000e+00,1.39448471e+04,0.00000000e+00,0.00000000e+00,1.16140339e+03,0.00000000e+00,4.02716642e+01,8.64701930e+02,8.99743607e+01
6.30957344e+10,1.64862709e+03,7.94963800e+02,5.00490021e+02,1.54296136e+02,5.58021328e+01,5.71736770e+02,0.00000000e+00,1.42985620e+04,0.00000000e+00,0.00000000e+00,1.30945759e+03,0.00000000e+00,4.31325574e+01,9.25080934e+02,9.63290958e+01
7.94328235e+10,1.76463672e+03,8.49951130e+02,5.35408575e+02,1.65161574e+02,5.96618995e+01,6.11654039e+02,0.00000000e+00,1.57328274e+04,0.00000000e+00,0.00000000e+00,1.38355204e+03,0.00000000e+00,4.61625247e+01,9.88946916e+02,1.03023952e+02
1.00000000e+11,1.88736157e+03,9.08052777e+02,5.72120989e+02,1.76654895e+02,6.37402770e+01,6.53618419e+02,0.00000000e+00,1.63450101e+04,0.00000000e+00,0.00000000e+00,1.42030809e+03,0.00000000e+00,4.93685648e+01,1.05644629e+03,1.10065978e+02
1.25892541e+11,2.01702489e+03,9.69373796e+02,6.10720223e+02,1.88797099e+02,6.80446392e+01,6.97736474e+02,0.00000000e+00,1.63450101e+04,0.00000000e+00,0.00000000e+00,1.42030809e+03,0.00000000e+00,5.27564508e+01,1.12769966e+03,1.17472739e+02
1.58489319e+11,2.15357181e+03,1.03388917e+03,6.51614934e+02,2.01583140e+02,7.25732301e+01,7.44475449e+02,0.00000000e+00,1.63450101e+04,0.00000000e+00,0.00000000e+00,1.42030809e+03,0.00000000e+00,5.63246904e+01,1.20267654e+03,1.25322515e+02
1.99526231e+11,2.29715517e+03,1.10167646e+03,6.94983597e+02,2.15027401e+02,7.73314926e+01,7.94039535e+02,0.00000000e+00,1.63450101e+04,0.00000000e+00,0.00000000e+00,1.42030809e+03,0.00000000e+00,6.00772313e+01,1.28146593e+03,1.33649379e+02
2.51188643e+11,2.44795939e+03,1.17281580e+03,7.40947157e+02,2.29147211e+02,8.23250529e+01,8.46567151e+02,0.00000000e+00,1.63450101e+04,0.00000000e+00,0.00000000e+00,1.42030809e+03,0.00000000e+00,6.40188538e+01,1.36416005e+03,1.42476379e+02
3.16227766e+11,2.60605936e+03,1.24718985e+03,7.89555247e+02,2.43949632e+02,8.75456735e+01,9.02115183e+02,0.00000000e+00,1.63450101e+04,0.00000000e+00,0.00000000e+00,1.42030809e+03,0.00000000e+00,6.81514842e+01,1.45062167e+03,1.51812897e+02
3.98107171e+11,2.77135724e+03,1.32469374e+03,8.40742445e+02,2.59425557e+02,9.29859924e+01,9.60609058e+02,0.00000000e+00,1.63450101e+04,0.00000000e+00,0.00000000e+00,1.42030809e+03,0.00000000e+00,7.24725305e+01,1.54072802e+03,1.61646195e+02
5.01187234e+11,2.94252909e+03,1.40468562e+03,8.93549362e+02,2.75451097e+02,9.86009559e+01,1.02095273e+03,0.00000000e+00,1.63450101e+04,0.00000000e+00,0.00000000e+00,1.42030809e+03,0.00000000e+00,7.69473416e+01,1.63373187e+03,1.71791695e+02
6.30957344e+11,3.11843977e+03,1.48697984e+03,9.47699386e+02,2.91920028e+02,1.04377532e+02,1.08283028e+03,0.00000000e+00,1.63450101e+04,0.00000000e+00,0.00000000e+00,1.42030809e+03,0.00000000e+00,8.15462107e+01,1.72941672e+03,1.82196107e+02
7.94328235e+11,2.09140191e+03,1.57147014e+03,1.00301814e+03,1.95776687e+02,1.10308261e+02,1.14604256e+03,0.00000000e+00,1.63450101e+04,0.00000000e+00,0.00000000e+00,1.42030809e+03,0.00000000e+00,5.46903837e+01,1.82765849e+03,1.92825810e+02
1.00000000e+12,9.08107658e+02,1.62190291e+03,9.90939215e+02,8.50054911e+01,1.13848347e+02,1.13224446e+03,0.00000000e+00,1.63450101e+04,0.00000000e+00,0.00000000e+00,1.42030809e+03,0.00000000e+00,2.37488564e+01,1.88629518e+03,1.90500669e+02
